id,title,type,release_year,age_certification,runtime,genres,production_countries,imdb_score,imdb_votes
tm126477,The Pee-wee Herman Show,MOVIE,1981,,58,['comedy'],['US'],8,1572
tm166957,Blame It on Rio,MOVIE,1984,R,100,"['comedy', 'romance']",['US'],5.8,10642
tm159880,Cadillac Man,MOVIE,1990,R,97,"['comedy', 'drama', 'crime']",['US'],5.7,14821
tm146932,El Diablo,MOVIE,1990,PG-13,115,"['western', 'comedy']",['US'],6.1,970
tm115170,Mona Lisa,MOVIE,1986,R,100,"['drama', 'romance', 'crime']",['GB'],7.3,17386
tm347032,One Year in a Life of Crime,MOVIE,1989,,55,"['documentation', 'crime']",['US'],7.7,266
tm127940,Volunteers,MOVIE,1985,R,107,['comedy'],"['US', 'TH']",5.5,9925
tm153311,The Freshman,MOVIE,1990,PG,103,"['comedy', 'crime']",['US'],6.4,21062
tm20408,Babette's Feast,MOVIE,1987,G,102,"['drama', 'european']",['DK'],7.8,20777
tm114909,Armed and Dangerous,MOVIE,1986,PG-13,88,"['comedy', 'action', 'crime']",['US'],5.7,12109
tm125811,Desert Hearts,MOVIE,1986,R,96,"['drama', 'romance']",['US'],7.1,6639
tm132688,Tie Me Up! Tie Me Down!,MOVIE,1990,NC-17,111,"['drama', 'romance', 'comedy', 'crime', 'european']",['ES'],7,30302
tm150087,Postcards from the Edge,MOVIE,1990,R,100,"['drama', 'comedy']",['US'],6.7,18336
tm164178,Moscow on the Hudson,MOVIE,1984,R,115,"['drama', 'comedy', 'romance']",['US'],6.5,12340
tm129640,Lola,MOVIE,1981,R,113,"['drama', 'european', 'romance']",['DE'],7.4,6457
tm67089,L'Argent,MOVIE,1983,,85,"['drama', 'european', 'crime']","['FR', 'CH']",7.4,10819
tm50063,She's Having a Baby,MOVIE,1988,PG-13,106,"['comedy', 'drama', 'romance']",['US'],5.9,13254
tm156574,Metropolitan,MOVIE,1990,PG-13,99,"['romance', 'comedy', 'drama']","['ES', 'US']",7.3,11732
tm24486,The Trouble with Spies,MOVIE,1987,PG-13,91,"['action', 'comedy']",['US'],4.2,487
tm37099,Caddyshack II,MOVIE,1988,PG-13,94,"['comedy', 'sport']",['US'],3.8,16045
tm905,A Midsummer Night's Sex Comedy,MOVIE,1982,PG,88,['comedy'],['US'],6.6,19902
tm139044,The War of the Roses,MOVIE,1989,R,116,"['comedy', 'drama', 'romance']",['US'],6.8,54698
tm124795,The French Lieutenant's Woman,MOVIE,1981,R,124,"['romance', 'drama']",['GB'],6.9,14058
tm20422,Au Revoir les Enfants,MOVIE,1987,PG,104,"['drama', 'european', 'war']","['FR', 'IT', 'DE']",8,34651
tm292447,Navy Seals,MOVIE,1990,R,113,"['action', 'thriller', 'war']",['US'],5.5,17238
tm163786,Cheech & Chong's The Corsican Brothers,MOVIE,1984,PG,82,['comedy'],['US'],4.6,4279
tm38485,Gorillas in the Mist,MOVIE,1988,,129,['drama'],['US'],7,27683
tm125812,My Life as a Dog,MOVIE,1985,,102,"['drama', 'european', 'comedy']",['SE'],7.6,21616
tm52234,Iron Eagle II,MOVIE,1988,PG,105,"['action', 'drama', 'war', 'romance']","['CA', 'IL']",3.8,5254
tm148386,Death Warrant,MOVIE,1990,R,93,"['thriller', 'action', 'drama', 'crime']","['CA', 'US']",5.7,19534
tm230325,Judgment,MOVIE,1990,PG-13,90,['drama'],['US'],6.6,378
tm101680,Permanent Vacation,MOVIE,1984,,75,"['drama', 'comedy']",['US'],6.2,9930
tm20168,Superman IV: The Quest for Peace,MOVIE,1987,PG,90,"['scifi', 'action', 'family']","['GB', 'US']",3.7,49918
tm154232,Graveyard Shift,MOVIE,1990,R,89,['horror'],"['US', 'JP']",4.9,11805
tm154292,Graffiti Bridge,MOVIE,1990,PG-13,78,"['drama', 'music']",['US'],4.4,2146
tm173466,"Greystoke: The Legend of Tarzan, Lord of the Apes",MOVIE,1984,PG,143,['drama'],"['GB', 'US']",6.4,20493
tm55992,Eating Raoul,MOVIE,1982,R,87,"['comedy', 'crime']",['US'],6.8,8609
tm177867,Flashpoint,MOVIE,1984,R,94,"['thriller', 'action', 'drama', 'crime']",['US'],6.4,2793
tm28893,I Was a Teenage Zombie,MOVIE,1987,,91,"['comedy', 'horror']",['US'],4.5,897
tm122274,Sesame Street: Follow That Bird,MOVIE,1985,G,88,"['comedy', 'family', 'music']",['US'],6.7,5388
tm175611,Under the Volcano,MOVIE,1984,R,112,"['drama', 'european']","['MX', 'US']",6.9,5867
tm21718,Teen Wolf Too,MOVIE,1987,PG,91,"['comedy', 'fantasy']",['US'],3.4,12011
tm24631,"Rita, Sue and Bob Too",MOVIE,1987,R,90,"['comedy', 'drama']",['GB'],6.5,4353
tm42369,Things Are Tough All Over,MOVIE,1982,R,90,"['comedy', 'action']",['US'],5.8,3533
tm125547,The Official Story,MOVIE,1985,,112,"['drama', 'history', 'war']",['AR'],7.7,10114
tm122850,The Boy Who Could Fly,MOVIE,1986,PG,114,"['family', 'fantasy', 'drama', 'romance']",['US'],6.5,6223
tm178667,The Times of Harvey Milk,MOVIE,1985,,90,"['documentation', 'history']",['US'],8.2,6294
tm57259,Smithereens,MOVIE,1983,R,94,"['drama', 'music']",['US'],6.7,2370
tm57120,Querelle,MOVIE,1982,R,108,"['drama', 'european']","['FR', 'DE']",6.6,6885
tm125558,Coup de Torchon,MOVIE,1981,,128,"['drama', 'comedy', 'crime', 'european']",['FR'],7.4,6279
tm44323,Cannery Row,MOVIE,1982,,120,"['romance', 'comedy', 'drama']",['US'],6.6,3902
tm23285,Intervista,MOVIE,1987,,107,"['drama', 'comedy', 'european', 'fantasy']",['IT'],7,2974
ts27809,Tanner '88,SHOW,1988,,33,"['reality', 'war', 'comedy', 'drama']",['US'],7.8,902
tm146083,Sidewalk Stories,MOVIE,1990,,97,['comedy'],['US'],7.3,515
tm145240,An Enemy of the People,MOVIE,1990,,99,['drama'],['IN'],7.3,1481
tm57381,Carlin at Carnegie,MOVIE,1983,,60,['comedy'],['US'],,
tm120767,Jimi Plays Monterey,MOVIE,1987,,50,"['music', 'documentation']",['US'],8.1,1335
tm176696,The Home and the World,MOVIE,1985,,132,['drama'],['IN'],7.5,1792
tm147019,Shake! Otis at Monterey,MOVIE,1987,,19,"['documentation', 'music']",['US'],,
tm762332,Mike Mulligan and His Steam Shovel,MOVIE,1990,,25,"['animation', 'family']",['US'],7.7,50
tm132370,Whoopi Goldberg: Direct from Broadway,MOVIE,1985,,75,"['comedy', 'documentation']",['US'],8.6,189
tm364856,Seoul 1988,MOVIE,1989,,139,"['documentation', 'sport']",['KR'],6.1,9
tm1251194,Before Mickey Mouse: A History of American Animation,MOVIE,1982,G,58,['animation'],['US'],,
tm452341,Pen Pals,MOVIE,1988,,36,['documentation'],['US'],,
tm657921,"Alexander and the Terrible, Horrible, No Good, Very Bad Day",MOVIE,1990,,30,"['family', 'animation']",['US'],7.1,65
tm753096,Earthday Birthday,MOVIE,1990,,30,['animation'],['US'],6.2,30
tm749734,"Lyle, Lyle Crocodile: The Musical - The House on East 88th Street",MOVIE,1987,,25,"['animation', 'family']",['US'],8.2,64
tm255170,Whoopi Goldberg's Fontaine... Why Am I Straight?,MOVIE,1988,,54,"['documentation', 'comedy']",['US'],7.7,75
tm347832,Calgary ’88: 16 Days of Glory,MOVIE,1989,,202,"['documentation', 'sport']",['US'],7.1,67
ts21792,South Park,SHOW,1997,TV-MA,22,"['comedy', 'animation']",['US'],8.7,378194
ts21698,Friends,SHOW,1994,TV-14,25,"['comedy', 'drama', 'romance']",['US'],8.9,1013084
ts20995,The Sopranos,SHOW,1999,TV-MA,55,"['drama', 'crime']",['US'],9.2,412547
ts20420,The West Wing,SHOW,1999,TV-14,45,['drama'],['US'],8.9,79108
tm119206,The Shawshank Redemption,MOVIE,1994,R,143,['drama'],['US'],9.3,2548100
tm185001,The Vanishing,MOVIE,1993,R,109,"['horror', 'thriller', 'drama']",['US'],6.3,26428
ts9245,Curb Your Enthusiasm,SHOW,2000,TV-MA,33,['comedy'],['US'],8.8,132096
tm15897,Se7en,MOVIE,1995,R,127,"['thriller', 'crime', 'drama']",['US'],8.6,1674243
tm8843,The Silence of the Lambs,MOVIE,1991,R,118,"['drama', 'thriller', 'horror', 'crime']",['US'],8.6,1449465
tm10,The Matrix,MOVIE,1999,R,136,"['action', 'scifi']",['US'],8.7,1934137
tm10236,Before Sunrise,MOVIE,1995,R,105,"['drama', 'romance', 'european']","['US', 'AT', 'CH']",8.1,315490
tm19313,Memento,MOVIE,2000,R,113,['thriller'],['US'],8.4,1251122
ts25314,Whose Line Is It Anyway?,SHOW,1998,TV-14,22,['comedy'],['US'],8.5,44409
ts13503,Batman: The Animated Series,SHOW,1992,TV-Y7-FV,22,"['family', 'scifi', 'animation', 'action', 'crime', 'drama']",['US'],9,106767
